#N, #batchCount, #result, #GPUtimeInMs, #CPUtime1InMs, #CPUtime4InMs, #CPUtime8InMs, #CPUtime16InMs, #memMB, #memByte
15, 1000000, -1, -1, -1, -1, -1, -1, -1, -2102967296
16, 1000000, -1, -1, -1, -1, -1, -1, -1, -1974967296
17, 1000000, -1, -1, -1, -1, -1, -1, -1, -1846967296
18, 1000000, -1, -1, -1, -1, -1, -1, -1, -1718967296
19, 1000000, -1, -1, -1, -1, -1, -1, -1, -1590967296
20, 1000000, -1, -1, -1, -1, -1, -1, -1, -1462967296
21, 1000000, -1, -1, -1, -1, -1, -1, -1, -1334967296
22, 1000000, -1, -1, -1, -1, -1, -1, -1, -1206967296
23, 1000000, -1, -1, -1, -1, -1, -1, -1, -1078967296
24, 1000000, -1, -1, -1, -1, -1, -1, -1, -950967296
25, 1000000, -1, -1, -1, -1, -1, -1, -1, -822967296
26, 1000000, -1, -1, -1, -1, -1, -1, -1, -694967296
27, 1000000, -1, -1, -1, -1, -1, -1, -1, -566967296
28, 1000000, -1, -1, -1, -1, -1, -1, -1, -438967296
29, 1000000, -1, -1, -1, -1, -1, -1, -1, -310967296
30, 1000000, -1, -1, -1, -1, -1, -1, -1, -182967296
31, 1000000, -1, -1, -1, -1, -1, -1, -1, -54967296
32, 1000000, -1, -1, -1, -1, -1, -1, -1, 73032704
